년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-04,전국,10.6,4.3,17.1
2020-05,전국,17.6,12.6,23.1
2020-06,전국,22.7,18.2,28
2020-07,전국,22.5,19.6,26.2
2020-08,전국,26.4,23.5,30.5
2020-09,전국,20.1,16.3,24.9
2020-10,전국,13.7,8.3,20
2020-11,전국,8.5,3.4,14.2
2020-12,전국,0.4,-4.4,5.9
2021-01,전국,-1.1,-6.3,4.5
2021-02,전국,3.4,-2.2,9.4
2021-03,전국,8.7,3.1,14.8
2021-04,전국,13.2,7.3,19.3
2021-05,전국,16.6,11.4,22.2
2021-06,전국,21.7,17.5,26.7
2021-07,전국,26,22.2,30.8
2021-08,전국,24.8,21.5,29.2
2021-09,전국,21.3,17.7,25.8
2021-10,전국,15.1,10.4,21.2
2021-11,전국,8.3,3.3,14.5
2021-12,전국,1.9,-3.1,7.4
2022-01,전국,-0.8,-6,5
2022-02,전국,-0.1,-5.4,5.7
2022-03,전국,7.7,2,13.7
2022-04,전국,13.8,7.5,20.4
2022-05,전국,18,11.5,24.6
2022-06,전국,22.4,18.3,27.2
2022-07,전국,25.9,22.5,30.3
2022-08,전국,25.3,22.1,29.1
2022-09,전국,21,16.6,26.3
2022-10,전국,14,8.9,20.1
2022-11,전국,9.6,3.9,16.5
2022-12,전국,-1.4,-6,3.8
2023-01,전국,-0.6,-5.8,5.1
2023-02,전국,2.5,-2.8,8.5
2023-03,전국,9.4,2.7,16.5
2023-04,전국,13.1,7.1,19.1
2023-05,전국,17.9,12.4,23.6
2023-06,전국,22.3,18,27.5
2023-07,전국,25.5,22.4,29.6
2023-08,전국,26.4,22.9,30.9
2023-09,전국,22.6,19,27.1
2023-10,전국,14.7,9.6,21.1
2023-11,전국,7.9,2.9,13.5
2023-12,전국,2.4,-2.1,7.3
2024-01,전국,0.9,-3.4,5.7
2024-02,전국,4.1,0,8.8
2024-03,전국,6.9,1.4,12.6
2024-04,전국,14.9,9.4,21.1
2024-05,전국,17.7,11.8,24
2024-06,전국,22.7,17.5,28.4
2024-07,전국,26.2,23.3,29.8


